@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {snake,Cheetah,breaking_glass}

@DATA
0.126766,0.037992,3.159069,0.154623,0.123892,1.309682,0.026003,0.195478,-26.323975,-0.310661,0.021832,0.334497,-0.005718,-0.276283,0.022396,-0.160193,-0.104705,0.134114,0.172195,-0.034762,-0.005473,0.003723,0.001574,0.004073,0.004667,0.028103,0.003902,0.007017,0.003887,0.004889,0.004299,0.003431,0.003336,0.008648,0.048670,0.016068,0.236479,0.049428,0.036749,0.455777,0.106141,0.084423,6.059892,0.536073,0.261368,0.312760,0.253840,0.250392,0.200642,0.177668,0.194168,0.175510,0.139728,0.112181,0.124850,0.003147,0.001261,0.002931,0.004791,0.038876,0.002753,0.004182,0.002208,0.004147,0.003947,0.002132,0.002598,0.010094,snake
0.147536,0.042405,3.238643,0.146641,0.095056,0.594408,0.003693,0.174955,-25.966185,-1.490277,1.592118,-0.499344,0.277805,0.365137,-0.193221,0.366367,-0.061580,0.061043,0.198691,-0.170226,0.259074,0.002252,0.010912,0.002511,0.003917,0.002859,0.000802,0.004402,0.000961,0.000769,0.002923,0.002935,0.001485,0.003747,0.006248,0.020217,0.039192,0.012013,0.024242,0.122913,0.000842,0.002733,0.922452,0.172739,0.175446,0.145264,0.135899,0.168920,0.111383,0.139016,0.140826,0.140041,0.130112,0.126897,0.129786,0.001548,0.009105,0.001256,0.004230,0.002140,0.000547,0.003466,0.000824,0.000703,0.003658,0.001896,0.001151,0.002148,snake
0.297281,0.014893,3.260727,0.318799,0.190847,2.294447,0.001120,0.486194,-27.564256,-1.450523,-0.166251,0.210078,0.057467,-0.105949,-0.068569,0.057337,0.079432,-0.122721,0.007462,-0.000797,0.057660,0.002679,0.001105,0.002493,0.002504,0.002054,0.001836,0.001827,0.001592,0.001678,0.002483,0.002907,0.001965,0.001548,0.025994,0.015648,0.065130,0.015915,0.013721,0.168862,0.000147,0.039857,1.532172,0.583089,0.451563,0.320144,0.246106,0.206960,0.196121,0.219000,0.192102,0.182844,0.132820,0.151150,0.182473,0.001685,0.000707,0.001723,0.001879,0.001784,0.001516,0.001089,0.001010,0.001269,0.001624,0.002213,0.001349,0.000647,snake
0.138352,0.043804,3.096780,0.160435,0.143754,1.202671,0.002247,0.191405,-23.520095,0.388752,-0.622955,0.109546,-0.023751,-0.024569,-0.157996,-0.173472,0.013375,-0.039971,-0.132206,-0.075232,-0.086978,0.010172,0.004814,0.010011,0.007370,0.006960,0.008512,0.008034,0.003306,0.008451,0.009508,0.016033,0.009050,0.006072,0.044333,0.044099,0.208087,0.016356,0.011087,0.375652,0.000857,0.058107,3.102389,0.892333,0.373521,0.280355,0.368442,0.315111,0.245486,0.257737,0.201217,0.214457,0.164043,0.189784,0.163145,0.008621,0.003967,0.007554,0.004207,0.002670,0.007299,0.005822,0.001819,0.004702,0.006540,0.011792,0.006819,0.002479,snake
0.085829,0.015012,3.196854,0.123614,0.121850,0.915080,0.008593,0.147958,-29.111033,-0.245572,-0.569262,0.322874,-0.318257,-0.091805,-0.062557,0.129684,0.319902,0.144519,0.151180,0.088056,0.112625,0.005603,0.002811,0.010638,0.004593,0.014031,0.002081,0.048057,0.003671,0.003343,0.002763,0.034001,0.003309,0.018179,0.022185,0.015796,0.160410,0.028088,0.029149,0.233088,0.026288,0.039068,4.534638,0.355315,0.308225,0.256565,0.202252,0.195130,0.164991,0.141509,0.138519,0.148266,0.141725,0.118180,0.111674,0.002129,0.001464,0.003023,0.003499,0.021330,0.001279,0.007801,0.001845,0.001464,0.001424,0.006804,0.001908,0.007161,snake
0.102594,0.043728,2.912667,0.108208,0.091770,0.727358,0.160224,0.096461,-35.024595,-1.277678,0.373766,-0.068240,-0.220658,0.430861,0.009547,-0.093378,-0.280185,0.395260,-0.222715,0.100749,0.079920,0.000585,0.000668,0.003027,0.002045,0.067582,0.001598,0.005040,0.004624,0.002034,0.001793,0.000716,0.000480,0.020607,0.099883,0.062583,0.615629,0.083773,0.071642,0.581897,0.357683,0.083279,11.863224,1.187911,0.466345,0.236505,0.239475,0.401231,0.211957,0.241168,0.347909,0.355920,0.330566,0.206619,0.197669,0.001269,0.001099,0.005024,0.003086,0.075805,0.001977,0.008220,0.008437,0.002788,0.002165,0.001067,0.000899,0.019418,Cheetah
0.102594,0.043728,2.912667,0.108208,0.091770,0.727358,0.160224,0.096461,-35.024595,-1.277678,0.373766,-0.068240,-0.220658,0.430861,0.009547,-0.093378,-0.280185,0.395260,-0.222715,0.100749,0.079920,0.000585,0.000668,0.003027,0.002045,0.067582,0.001598,0.005040,0.004624,0.002034,0.001793,0.000716,0.000480,0.020607,0.099883,0.062583,0.615629,0.083773,0.071642,0.581897,0.357683,0.083279,11.863224,1.187911,0.466345,0.236505,0.239475,0.401231,0.211957,0.241168,0.347909,0.355920,0.330566,0.206619,0.197669,0.001269,0.001099,0.005024,0.003086,0.075805,0.001977,0.008220,0.008437,0.002788,0.002165,0.001067,0.000899,0.019418,Cheetah
0.035447,0.009460,2.280805,0.075195,0.112936,0.271956,0.014491,0.062661,-26.504284,1.564960,-1.516834,-0.216744,0.060971,0.452780,0.177152,0.603551,-0.216504,-0.021193,-0.461738,0.083559,-0.109074,0.009089,0.009794,0.022180,0.023964,0.023254,0.011787,0.014256,0.007603,0.006885,0.008310,0.011220,0.006369,0.011307,0.009850,0.006949,0.507684,0.023480,0.043367,0.193493,0.034362,0.023693,2.801416,0.632403,0.492603,0.345887,0.257250,0.223198,0.204453,0.232115,0.200888,0.178828,0.257705,0.173383,0.148545,0.006484,0.007288,0.010346,0.013325,0.020987,0.007925,0.009788,0.006531,0.004999,0.005904,0.007766,0.004680,0.005072,Cheetah
0.026277,0.021022,2.973130,0.073677,0.130505,0.078711,0.009786,0.040274,-25.768083,2.401433,-0.379158,0.607072,0.078122,0.102408,-0.014198,0.069106,0.022677,0.105395,0.139492,0.090269,0.091158,0.012695,0.003392,0.025096,0.008026,0.031132,0.012829,0.042867,0.003242,0.009547,0.028892,0.027563,0.008650,0.020667,0.008405,0.024951,0.282146,0.021089,0.039831,0.057891,0.005307,0.015903,2.160940,0.493183,0.583994,0.270612,0.236031,0.233912,0.276382,0.190290,0.233130,0.205619,0.229496,0.228400,0.200164,0.009093,0.003609,0.018249,0.006431,0.025667,0.009850,0.029847,0.003111,0.009126,0.021952,0.019167,0.009720,0.006996,Cheetah
0.039360,0.009427,2.281669,0.085510,0.120087,0.280398,0.004648,0.062654,-26.444696,1.565034,-1.512621,-0.213542,0.064553,0.456652,0.175749,0.600780,-0.218292,-0.023241,-0.461696,0.083510,-0.107180,0.009112,0.009819,0.022232,0.024004,0.021151,0.011815,0.014303,0.007622,0.006900,0.008347,0.011242,0.006385,0.010715,0.012432,0.006925,0.509193,0.043825,0.045765,0.200219,0.001895,0.023693,2.598893,0.632286,0.501892,0.345264,0.252115,0.217193,0.205631,0.237322,0.199958,0.179866,0.257602,0.174298,0.150020,0.006455,0.007252,0.010246,0.013257,0.014457,0.007888,0.009697,0.006513,0.004980,0.005862,0.007728,0.004659,0.003492,Cheetah
