@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {snake,Cheetah,frog,Fox,seal,panther,tiger}

@DATA
0.168448,0.010030,3.001865,0.168103,0.103551,1.256710,0.002426,0.221343,-26.593199,-0.485595,0.515174,0.153577,0.592819,0.105802,0.208943,-0.166657,0.205098,-0.100684,0.191920,-0.055471,0.033714,0.003164,0.002549,0.007858,0.001685,0.004243,0.002256,0.005312,0.001310,0.001311,0.001795,0.003500,0.001899,0.002746,0.011375,0.004279,0.108981,0.011944,0.018925,0.111223,0.000391,0.006512,0.684897,0.309515,0.313374,0.181772,0.191217,0.195928,0.180476,0.169054,0.162268,0.155916,0.139768,0.137295,0.129123,0.002228,0.001923,0.004519,0.001185,0.003783,0.001633,0.004154,0.001039,0.000835,0.001293,0.002218,0.001400,0.001480,snake
0.455180,0.016558,2.732550,0.440750,0.156912,2.180026,0.001007,0.606987,-33.539159,-0.831075,0.520440,-0.232255,0.268027,-0.153875,0.112231,-0.129461,0.042069,-0.092415,0.123579,-0.063457,0.107659,0.000835,0.000926,0.001360,0.001191,0.000603,0.000445,0.000507,0.000410,0.000396,0.000553,0.000606,0.000619,0.000623,0.018822,0.016779,0.480227,0.008806,0.010814,0.188037,0.000163,0.020622,0.855790,0.380813,0.185362,0.150521,0.129900,0.109414,0.148441,0.151063,0.124931,0.149114,0.144339,0.117310,0.147546,0.000622,0.000550,0.001045,0.000989,0.000511,0.000350,0.000443,0.000259,0.000341,0.000321,0.000486,0.000447,0.000236,snake
0.286018,0.004605,2.149810,0.303620,0.122946,1.727412,0.122612,0.431129,-33.398035,-0.115721,0.928882,-0.162443,0.360728,-0.088912,0.140516,-0.001249,0.080352,0.017710,0.083302,0.040875,0.000829,0.001629,0.000980,0.003638,0.001554,0.016037,0.001287,0.004513,0.001086,0.000701,0.001050,0.002125,0.000795,0.005428,0.076220,0.003984,0.329506,0.052861,0.030029,0.395541,0.121571,0.080779,2.958036,0.741610,0.355137,0.265278,0.205943,0.149846,0.181217,0.170000,0.147913,0.121057,0.151467,0.128909,0.116752,0.001828,0.000844,0.004939,0.002085,0.021209,0.001322,0.006093,0.000845,0.001064,0.001671,0.003443,0.000806,0.006073,snake
0.165877,0.035397,3.057032,0.180761,0.099649,0.624714,0.012076,0.200516,-28.043710,-1.981893,0.335712,-0.701421,0.455338,-0.373077,0.169082,-0.102711,0.023959,-0.108789,0.096926,-0.068761,0.073670,0.003165,0.002668,0.001741,0.001186,0.004725,0.000878,0.000858,0.000544,0.000617,0.001232,0.001877,0.003820,0.002854,0.012125,0.011112,0.147713,0.014940,0.025555,0.101250,0.027431,0.014141,1.143001,0.362046,0.208168,0.202505,0.166003,0.161195,0.151014,0.145796,0.125365,0.134228,0.142949,0.122193,0.147134,0.002683,0.002353,0.001504,0.001038,0.008390,0.000670,0.000943,0.000425,0.000468,0.000976,0.001761,0.003159,0.002719,snake
0.322532,0.005637,2.280203,0.296024,0.101602,1.411597,0.001662,0.374537,-31.854169,-0.605728,0.607137,-0.122636,0.029228,-0.126423,0.012024,0.069249,0.046726,-0.057755,0.008765,0.006598,0.039140,0.001312,0.001134,0.000901,0.000615,0.000525,0.000514,0.000561,0.000728,0.001349,0.001430,0.001015,0.001326,0.000842,0.024456,0.002687,0.261942,0.010328,0.013419,0.141456,0.000260,0.018169,1.192369,0.336384,0.224810,0.204156,0.203255,0.282624,0.186027,0.155042,0.140540,0.136864,0.152218,0.141941,0.139239,0.000955,0.001044,0.000719,0.000347,0.000333,0.000410,0.000407,0.000516,0.001058,0.001193,0.000775,0.001106,0.000317,snake
0.211696,0.015151,2.661591,0.214290,0.105485,0.492957,0.005840,0.236764,-31.848363,-1.862139,0.918332,0.193528,0.067033,0.050891,0.136992,-0.023922,0.114765,0.035124,0.070303,0.051553,-0.015588,0.000836,0.000384,0.003974,0.000821,0.005026,0.002038,0.012541,0.007155,0.000400,0.000726,0.001594,0.000348,0.005601,0.030880,0.009056,0.284911,0.026153,0.030980,0.147198,0.002866,0.025776,1.416673,1.040179,0.360995,0.227158,0.157387,0.146349,0.133661,0.136994,0.129861,0.131433,0.112479,0.131664,0.112381,0.001557,0.000535,0.009762,0.001267,0.010254,0.002123,0.020324,0.006352,0.000631,0.001458,0.003652,0.000592,0.006774,snake
0.252688,0.003035,2.371259,0.248413,0.111319,1.626795,0.002034,0.342899,-31.258592,-0.288835,0.997252,-0.120848,0.276795,-0.087661,0.097994,0.021552,0.098248,0.047096,0.064753,0.062642,0.007359,0.002565,0.001915,0.003132,0.001131,0.004308,0.000914,0.005211,0.000824,0.000906,0.001456,0.002601,0.001377,0.002404,0.019001,0.003167,0.598467,0.019965,0.020506,0.205028,0.000516,0.005455,1.380590,0.845395,0.351436,0.231728,0.192930,0.154848,0.191898,0.144134,0.162117,0.160139,0.178616,0.117365,0.128498,0.002110,0.001620,0.003577,0.000941,0.006749,0.000796,0.006055,0.000753,0.000800,0.001191,0.003059,0.000934,0.001987,snake
0.126766,0.037992,3.159069,0.154623,0.123892,1.309682,0.026003,0.195478,-26.323975,-0.310661,0.021832,0.334497,-0.005718,-0.276283,0.022396,-0.160193,-0.104705,0.134114,0.172195,-0.034762,-0.005473,0.003723,0.001574,0.004073,0.004667,0.028103,0.003902,0.007017,0.003887,0.004889,0.004299,0.003431,0.003336,0.008648,0.048670,0.016068,0.236479,0.049428,0.036749,0.455777,0.106141,0.084423,6.059892,0.536073,0.261368,0.312760,0.253840,0.250392,0.200642,0.177668,0.194168,0.175510,0.139728,0.112181,0.124850,0.003147,0.001261,0.002931,0.004791,0.038876,0.002753,0.004182,0.002208,0.004147,0.003947,0.002132,0.002598,0.010094,snake
0.126766,0.037992,3.159069,0.154623,0.123892,1.309682,0.026003,0.195478,-26.323975,-0.310661,0.021832,0.334497,-0.005718,-0.276283,0.022396,-0.160193,-0.104705,0.134114,0.172195,-0.034762,-0.005473,0.003723,0.001574,0.004073,0.004667,0.028103,0.003902,0.007017,0.003887,0.004889,0.004299,0.003431,0.003336,0.008648,0.048670,0.016068,0.236479,0.049428,0.036749,0.455777,0.106141,0.084423,6.059892,0.536073,0.261368,0.312760,0.253840,0.250392,0.200642,0.177668,0.194168,0.175510,0.139728,0.112181,0.124850,0.003147,0.001261,0.002931,0.004791,0.038876,0.002753,0.004182,0.002208,0.004147,0.003947,0.002132,0.002598,0.010094,snake
0.147536,0.042405,3.238643,0.146641,0.095056,0.594408,0.003693,0.174955,-25.966185,-1.490277,1.592118,-0.499344,0.277805,0.365137,-0.193221,0.366367,-0.061580,0.061043,0.198691,-0.170226,0.259074,0.002252,0.010912,0.002511,0.003917,0.002859,0.000802,0.004402,0.000961,0.000769,0.002923,0.002935,0.001485,0.003747,0.006248,0.020217,0.039192,0.012013,0.024242,0.122913,0.000842,0.002733,0.922452,0.172739,0.175446,0.145264,0.135899,0.168920,0.111383,0.139016,0.140826,0.140041,0.130112,0.126897,0.129786,0.001548,0.009105,0.001256,0.004230,0.002140,0.000547,0.003466,0.000824,0.000703,0.003658,0.001896,0.001151,0.002148,snake
